"Carimbo de data/hora","Qual sua idade?","Qual seu gênero?","Em qual estado você mora? Ou morou maior parte da sua vida ","Qual sua escolaridade?","Você já experimentou alguma comida peruana?","Você sabia que o milho faz parte da base da alimentação dessa região?","Quais dessas opções você acha que são comidas clássicas da culinária peruanas ?","Na sua opinião existe espaço no Brasil para comida de outros países?","Quais os dois tipos de milho que são muito usados no Peru? ","Você acha que existe alguma comida brasileira com influência da culinária peruana? Se sim, qual ? ","Na sua opinião as diferentes altitudes e biomas influenciam no desenvolvimento de diversidade de milho, criando assim várias espécies?","",""
"2024/05/16 1:56:28 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior incompleto","Não sei dizer","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Não","Talvez","",""
"2024/05/16 2:00:10 PM GMT-3","61 ou mais","Masculino","Distrito Federal (DF)","Ensino médio completo","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 2:03:59 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Ensino médio completo","Não","Não","Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 2:04:34 PM GMT-3","51 a 60","Feminino","Distrito Federal (DF)","Ensino médio completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 2:10:19 PM GMT-3","31 a 40","Feminino","Mato Grosso (MT)","Ensino médio completo","Não","Não","Choripán","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 2:14:42 PM GMT-3","18 a 30","Masculino","Goiás (GO)","Superior completo","Não","Não","Chicha morada;Choripán;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 2:15:39 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Não sei dizer","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 2:20:11 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Ensino médio completo","Não sei dizer","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 2:23:01 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Milho cozido e assado na brasa","Sim","",""
"2024/05/16 2:41:02 PM GMT-3","51 a 60","Feminino","Distrito Federal (DF)","Superior completo","Não","Sim","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","Pamonha","Sim","",""
"2024/05/16 2:41:27 PM GMT-3","18 a 30","Masculino","Mato Grosso (MT)","Superior completo","Não","Não","Tamal","Sim","Milho amarelo e milho branco","Não","Sim","",""
